Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-10,06:08:24.940,23.33,3.88,30002,87,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,56,-1,0,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:24.970,23.33,3.88,10002,87,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,56,-1,0,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:25.070,23.33,3.88,10002,87,4.9,0.0,0,-10,9,-1024,7,-1024,204,-16,56,-1,0,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:25.170,23.33,3.88,20002,87,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,56,-3,0,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.090,23.33,3.88,20002,85,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.170,23.33,3.88,30001,85,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.290,23.33,3.88,10001,85,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.390,23.33,3.88,20001,85,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.490,23.33,3.88,20001,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.590,23.33,3.88,30005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.690,23.33,3.88,10005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.790,23.33,3.88,10005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.890,23.32,3.88,10005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:28.990,23.32,3.88,30005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.090,23.32,3.88,10005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.190,23.32,3.88,10005,84,4.9,0.0,0,-12,11,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.290,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.390,23.32,3.88,30005,83,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.490,23.32,3.88,10005,83,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,60,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.590,23.32,3.88,10005,83,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.690,23.32,3.88,20005,83,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.790,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.890,23.32,3.88,30005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:29.990,23.32,3.88,10005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.090,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.190,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.290,23.32,3.88,30005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.390,23.32,3.88,10005,84,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.490,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,60,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.590,23.32,3.88,20005,84,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,60,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.690,23.32,3.88,30005,87,4.9,0.0,0,-12,9,-1024,9,-1024,204,-16,60,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.790,23.32,3.88,30005,87,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2019-09-10,06:08:30.890,23.32,3.88,20005,87,4.9,0.0,0,-12,9,-1024,7,-1024,204,-16,59,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
