Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-05,21:15:42.210,14.50,3.62,30005,92,4.9,-4,14,-1024,4,-517,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.2
2018-07-05,21:15:42.250,14.50,3.62,30005,92,4.9,-4,14,-1024,4,-517,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.2
2018-07-05,21:15:42.350,14.50,3.62,20005,92,4.9,-4,14,-1024,4,-517,-205,-3,966,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.2
2018-07-05,21:15:42.450,14.50,3.62,10005,92,4.9,-4,14,-1024,4,-517,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.2
2018-07-05,21:15:42.550,14.50,3.62,30005,89,4.9,-4,14,-1024,4,-516,-205,-3,966,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.2
2018-07-05,21:15:42.650,14.50,3.62,20005,89,4.9,-4,14,-1024,4,-516,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.2
2018-07-05,21:15:42.750,14.50,3.62,10005,89,4.9,-4,14,-1024,4,-517,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.2
2018-07-05,21:15:42.850,14.40,3.60,20005,89,4.9,-4,14,-1024,4,-516,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.2
2018-07-05,21:15:42.950,14.40,3.60,10005,89,4.9,-3,14,-1024,4,-516,-205,-3,966,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.2
2018-07-05,21:15:43.050,14.40,3.60,30005,89,4.9,-3,14,-1024,6,-517,-205,-3,966,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.2
