Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-08-03,08:43:09.620,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,9,-1024,204,1024,-509,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:09.670,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-509,-922,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:09.770,0.00,0.00,0,0,0.0,0.0,0,-12,12,-1024,7,-1024,204,1024,-509,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:09.880,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-511,-922,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:09.980,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.080,0.00,0.00,0,0,0.0,0.0,0,-12,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.180,0.00,0.00,0,0,0.0,0.0,0,-12,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.300,0.00,0.00,0,0,0.0,0.0,0,-12,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.400,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-511,-922,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.530,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-509,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.640,0.00,0.00,0,0,0.0,0.0,0,-10,11,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.740,0.00,0.00,0,0,0.0,0.0,0,-10,11,-1024,7,-1024,204,1024,-509,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.840,0.00,0.00,0,0,0.0,0.0,0,-10,11,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:10.940,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-509,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:11.040,0.00,0.00,0,0,0.0,0.0,0,-10,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:11.140,0.00,0.00,0,0,0.0,0.0,0,-49,12,-1001,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.7
2019-08-03,08:43:11.240,0.00,0.00,0,0,0.0,0.0,0,-55,12,-971,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000030,7.7
2019-08-03,08:43:11.340,0.00,0.00,0,0,0.0,0.0,0,-6,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:11.440,0.00,0.00,0,0,0.0,0.0,0,-6,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
2019-08-03,08:43:11.540,0.00,0.00,0,0,0.0,0.0,0,-6,12,-1024,7,-1024,204,1024,-511,-924,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000020,7.7
