Date,Time,A2(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-11-26,19:48:46.150,6.7,83,4.9,-3,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.250,6.7,83,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.350,6.7,83,4.9,-1,1,-1022,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.450,6.7,83,4.9,-3,1,-1022,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:46.580,6.7,82,4.9,723,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.680,6.7,82,4.9,1024,1,-1024,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.780,6.7,82,4.9,1024,1,-1024,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:46.880,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.010,6.7,82,4.9,1024,1,-1024,3,-510,204,0,-1,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.110,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.210,6.7,82,4.9,1024,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.310,6.7,82,4.9,438,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.410,6.7,83,4.9,0,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.540,6.7,83,4.9,0,1,-1024,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:47.640,6.7,83,4.9,-1,1,-1001,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.740,6.7,83,4.9,-1,1,-612,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.840,6.7,83,4.9,-16,1,-617,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:47.940,6.7,83,4.9,-7,1,-639,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.070,6.7,83,4.9,-6,1,-150,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.170,6.7,83,4.9,-3,1,239,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.270,6.7,83,4.9,-73,1,-73,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.370,6.7,83,4.9,-3,1,-42,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.500,6.7,83,4.9,-9,1,62,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.600,6.7,83,4.9,-1,1,19,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.700,6.7,82,4.9,0,1,-122,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.800,6.7,82,4.9,-1,1,-34,3,-510,204,-1,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:48.900,6.7,82,4.9,0,1,-355,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.030,6.7,82,4.9,38,1,765,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.170,6.7,81,4.9,3,1,313,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.270,6.7,81,4.9,0,1,-679,3,-510,204,-1,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.370,6.7,81,4.9,0,1,622,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.470,6.7,82,4.9,0,1,-23,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.610,6.7,82,4.9,0,1,-279,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.750,6.7,82,4.9,-1,1,46,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.850,6.7,82,4.9,-1,1,87,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:49.960,6.7,82,4.9,-3,1,4,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.080,6.7,82,4.9,-1,1,0,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.180,6.7,82,4.9,-1,1,-3,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.280,6.7,82,4.9,0,1,-6,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.380,6.7,82,4.9,0,1,-7,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.480,6.7,83,4.9,-1,1,-9,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.610,6.7,83,4.9,-1,1,-7,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.710,6.7,83,4.9,-1,1,-9,1,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.810,6.7,83,4.9,-1,1,-7,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:50.910,6.7,83,4.9,0,1,-7,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.010,6.7,83,4.9,0,1,-7,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.140,6.7,83,4.9,0,1,-7,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.240,6.7,83,4.9,0,1,-7,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.340,6.7,83,4.9,0,1,-7,3,-510,204,-1,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.440,6.7,83,4.9,17,1,-725,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.540,6.7,83,4.9,-1,1,-811,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.670,6.7,83,4.9,-1,1,-809,3,-510,204,0,0,982,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.770,6.7,83,4.9,-1,1,-804,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.870,6.7,83,4.9,-1,1,-803,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:51.970,6.7,83,4.9,-1,1,-801,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.100,6.7,83,4.9,-1,1,-800,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.200,6.7,83,4.9,-1,1,-723,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.300,6.7,83,4.9,-1,1,-719,3,-510,204,0,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.400,6.7,83,4.9,-1,1,-716,3,-510,204,-1,1,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.500,6.7,83,4.9,-1,1,-714,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.630,6.7,83,4.9,-1,1,-712,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.770,6.7,82,4.9,-1,1,-712,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.870,6.7,82,4.9,-1,1,-712,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:52.970,6.7,82,4.9,-3,1,-712,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.070,6.7,83,4.9,-3,1,-730,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.210,6.7,83,4.9,-3,1,-825,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.350,6.7,83,4.9,-3,1,-828,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.450,6.7,83,4.9,-1,1,-830,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.560,6.7,81,4.9,-1,1,-830,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.690,6.7,81,4.9,-1,1,-828,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002930,7.5
2017-11-26,19:48:53.840,6.7,81,4.9,-1,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:53.980,6.7,82,4.9,1,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.080,6.7,82,4.9,1,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.190,6.7,82,4.9,1,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.320,6.7,82,4.9,0,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.470,6.7,82,4.9,-1,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.610,6.7,82,4.9,-351,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.710,6.7,82,4.9,-1019,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.840,6.7,81,4.9,-797,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:54.940,6.7,81,4.9,-1024,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.040,6.7,81,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.140,6.7,81,4.9,-1024,3,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.240,6.7,81,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.370,6.7,82,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.470,6.7,82,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.570,6.7,82,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.670,6.7,82,4.9,-1024,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.800,6.7,82,4.9,-311,1,-1024,3,-510,204,0,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:55.900,6.7,82,4.9,-10,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
2017-11-26,19:48:56.000,6.7,82,4.9,-9,1,-1024,3,-510,204,-1,0,980,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000002920,7.5
