Date,Time,VFAS(V),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-11-20,20:23:57.390,12.60,20002,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.410,12.60,20002,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.510,12.60,10001,90,5.1,4.20,-13,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.610,12.60,10001,90,5.1,4.20,-13,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.710,12.60,20001,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,984,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.810,12.60,30005,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:57.910,12.60,30005,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:58.010,12.60,20005,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,984,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:58.110,12.60,20005,90,5.1,4.20,-12,6,-1024,10,1024,204,-22,982,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
2018-11-20,20:23:58.210,12.60,10005,90,5.1,4.20,-12,4,-1024,10,1024,204,-22,981,-960,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.1
