Date,Time,VFAS(V),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-10-31,08:14:38.880,12.50,20002,100,5.0,4.16,-9,6,-1024,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:38.900,12.50,20002,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.000,12.50,10002,100,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.100,12.50,10001,100,5.0,4.16,-9,6,-1024,7,433,204,-12,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.200,12.50,20001,100,5.0,4.16,-9,8,-1024,7,432,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.300,12.50,10005,100,5.0,4.16,-9,8,-1024,7,433,204,-12,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.400,12.50,30005,100,5.0,4.16,-9,6,-1024,7,432,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.500,12.50,20005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.600,12.50,10005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.700,12.50,30005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.800,12.50,10005,100,5.0,4.16,-9,6,-1024,9,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:39.900,12.50,30005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.000,12.50,20005,100,5.0,4.16,-9,6,-1024,7,432,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.100,12.50,10005,100,5.0,4.16,-10,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.200,12.50,30005,100,5.0,4.16,-9,6,-1024,7,432,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.300,12.50,20005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.400,12.50,10005,100,5.0,4.16,-9,6,-1024,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.500,12.50,30005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.600,12.50,10005,100,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.700,12.50,30005,95,5.0,4.16,-9,8,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.800,12.50,10005,95,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:40.900,12.50,10005,95,5.0,4.16,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.000,12.50,30005,95,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.100,12.50,10005,99,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.200,12.50,10005,99,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.300,12.50,30005,99,5.0,4.16,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.400,12.40,10005,99,5.0,4.13,-9,6,-1024,7,432,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.500,12.40,30005,98,5.0,4.13,-9,6,-1024,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.600,12.40,20005,98,5.0,4.13,-10,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.700,12.40,30005,98,5.0,4.13,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.800,12.40,30005,98,5.0,4.13,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:41.900,12.40,20005,98,5.0,4.13,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:42.000,12.40,30005,99,5.0,4.13,-9,6,-1024,9,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:42.100,12.40,20005,99,5.0,4.13,-9,6,-1024,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:42.200,12.40,10005,99,5.0,4.13,-9,6,-1024,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2018-10-31,08:14:42.300,12.40,30005,99,5.0,4.13,-9,6,-868,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.400,12.40,10005,95,5.0,4.13,-12,8,-660,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.500,12.40,30005,95,5.0,4.13,-13,6,-484,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.600,12.40,20005,95,5.0,4.13,-41,8,-311,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.700,12.40,10005,95,5.0,4.13,-43,6,-136,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.800,12.40,30005,95,5.0,4.13,-81,6,125,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:42.900,12.40,20005,91,5.0,4.13,-117,8,318,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.000,12.40,10005,91,5.0,4.13,-135,8,471,7,433,204,-12,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.100,12.40,30005,91,5.0,4.13,-153,8,537,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.200,12.40,20005,91,5.0,4.13,-135,6,558,9,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.300,12.40,30005,96,5.0,4.13,-115,6,565,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.400,12.40,20005,96,5.0,4.13,-115,6,567,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.500,12.40,30005,96,5.0,4.13,-113,6,569,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.600,12.40,30005,96,5.0,4.13,-118,6,569,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.700,12.40,20005,96,5.0,4.13,-121,6,571,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.800,12.30,30005,96,5.0,4.10,-126,6,573,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:43.900,12.30,30005,96,5.0,4.10,-133,8,590,7,432,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.000,12.30,20005,96,5.0,4.10,-137,6,610,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.100,12.30,30005,96,5.0,4.10,-143,6,629,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.200,12.30,20005,97,5.0,4.10,-167,8,687,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.300,12.30,10005,97,5.0,4.10,-170,6,753,9,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.400,12.30,20005,97,5.0,4.10,-170,8,829,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.500,12.30,20005,97,5.0,4.10,-169,6,846,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.600,12.30,30005,96,5.0,4.10,-167,8,849,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.700,12.30,20005,96,5.0,4.10,-166,8,851,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.800,12.30,10005,96,5.0,4.10,-163,8,852,9,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:44.900,12.30,30005,96,5.0,4.10,-160,8,852,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.000,12.30,20005,96,5.0,4.10,-158,6,852,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.100,12.30,30005,95,5.0,4.10,-157,6,851,7,432,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.200,12.30,30005,95,5.0,4.10,-157,6,851,7,433,204,-13,-1,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.300,12.30,10005,95,5.0,4.10,-155,6,851,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.400,12.30,30005,95,5.0,4.10,-155,6,851,7,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.500,12.20,20005,94,5.0,4.06,-155,8,851,7,432,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2018-10-31,08:14:45.600,12.20,10005,94,5.0,4.06,-155,6,851,9,433,204,-13,0,591,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
