Date,Time,Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),Curr(A),Fuel(%),RSSI(dB),RxBt(V),VFAS(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-05,08:41:12.410,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,7,-36,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.450,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,6,-36,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.550,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,7,-36,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.650,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,7,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.750,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,97,5.1,12.60,-7,14,-1024,7,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.850,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,97,5.1,12.60,-7,14,-1024,6,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:12.950,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,97,5.1,12.60,-7,14,-1024,7,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:13.050,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,97,5.1,12.60,-7,14,-1024,7,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:13.150,0.00,0.00,0.00,0.00,20001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,7,-36,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:13.250,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,6,-36,204,62,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:13.350,0.00,0.00,0.00,0.00,30001,4.20,0.0,0,96,5.1,12.60,-7,14,-1024,7,-36,204,61,0,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
2018-06-05,08:41:13.450,0.00,0.00,0.00,0.00,10001,4.20,0.0,0,96,5.1,12.60,-6,14,-1024,6,-36,204,61,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,8.1
