Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-11-10,16:39:16.780,16.60,4.15,20002,88,4.8,0.0,0,-10,6,-1024,10,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:16.810,16.60,4.15,20002,88,4.8,0.0,0,-10,6,-1024,10,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:16.920,16.60,4.15,20001,87,4.8,0.0,0,-10,6,-1024,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.020,16.60,4.15,10001,87,4.8,0.0,0,-10,4,-1024,9,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.130,16.60,4.15,20001,87,4.8,0.0,0,-10,4,-1024,10,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.270,16.60,4.15,10005,86,4.8,0.0,0,-10,4,-1024,10,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.380,16.60,4.15,30005,86,4.8,0.0,0,-10,4,-1024,9,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.480,16.60,4.15,20005,86,4.8,0.0,0,-10,4,-1024,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.630,16.60,4.15,10005,86,4.8,0.0,0,-10,4,-1024,10,698,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.730,16.60,4.15,10005,86,4.8,0.0,0,-10,1,-1024,35,698,204,-422,-119,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.830,16.60,4.15,10005,86,4.8,0.0,0,-10,-24,-1024,16,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:17.930,16.60,4.15,30005,86,4.8,0.0,0,-10,-4,-1024,13,698,204,-422,-117,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:18.080,16.60,4.15,20005,86,4.8,0.0,0,-10,1,-1024,10,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:18.220,16.60,4.15,10005,84,4.8,0.0,0,-10,4,-1024,10,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:18.320,16.60,4.15,30005,84,4.8,0.0,0,-10,4,-1024,10,699,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:18.430,16.60,4.15,20005,84,4.8,0.0,0,-10,4,-1024,10,698,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-10,16:39:18.530,16.60,4.15,30005,84,4.8,0.0,0,-10,69,-993,10,698,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:18.630,16.60,4.15,10005,84,4.8,0.0,0,-58,204,-704,10,699,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:18.730,16.60,4.15,10005,84,4.8,0.0,0,-95,267,-701,10,698,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:18.830,16.60,4.15,30005,84,4.8,0.0,0,-13,209,-725,10,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:18.930,16.60,4.15,20005,84,4.8,0.0,0,-13,124,-727,10,699,204,-422,-119,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:19.030,16.60,4.15,30005,84,4.8,0.0,0,-12,99,-727,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:19.130,16.60,4.15,20005,84,4.8,0.0,0,-10,54,-727,9,698,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:19.230,16.60,4.15,30005,84,4.8,0.0,0,-10,33,-727,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:19.330,16.60,4.15,20005,84,4.8,0.0,0,-10,12,-727,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-10,16:39:19.430,16.60,4.15,10005,84,4.8,0.0,0,-10,9,-727,9,699,204,-422,-117,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
