Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-08-03,01:47:02.910,0.00,0.00,30002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:02.930,0.00,0.00,30002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.030,0.00,0.00,30002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.130,0.00,0.00,20002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.230,0.00,0.00,20002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.330,0.00,0.00,10002,88,4.6,0.0,0,-6,11,-1024,4,-977,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.430,0.00,0.00,10002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.530,0.00,0.00,20002,88,4.6,0.0,0,-4,11,-1024,6,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.630,0.00,0.00,10002,88,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.730,0.00,0.00,10002,89,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.830,0.00,0.00,30002,89,4.6,0.0,0,-4,11,-1024,6,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:03.930,0.00,0.00,10002,89,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
2018-08-03,01:47:04.030,0.00,0.00,20002,89,4.6,0.0,0,-4,11,-1024,4,-978,204,-14,-3,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,8.0
