Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-08,00:36:24.070,15.20,3.80,10005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.170,15.20,3.80,30005,99,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.270,15.20,3.80,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.370,15.20,3.80,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.470,15.20,3.80,30005,100,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.570,15.20,3.80,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.670,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.770,15.20,3.80,20005,100,4.9,-7,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.870,15.20,3.80,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:24.970,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.070,15.20,3.80,20005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.170,15.20,3.80,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.270,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.370,15.20,3.80,10005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.470,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.570,15.20,3.80,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.670,15.20,3.80,10005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.770,15.20,3.80,30005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.870,15.20,3.80,20005,100,4.9,-6,12,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
2018-07-08,00:36:25.970,15.20,3.80,30005,100,4.9,-6,11,-1024,6,1024,-205,-23,-1024,-998,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.6
