Date,Time,RSSI(dB),RxBt(V),A2(V),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-29,22:04:09.210,82,4.6,11.0,0,0.00,0.00,0.0,0,-3,12,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.310,82,4.6,11.0,0,0.00,0.00,0.0,0,-3,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.410,82,4.6,11.0,0,0.00,0.00,0.0,0,-1,12,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.510,80,4.6,11.0,0,0.00,0.00,0.0,0,-1,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.610,80,4.6,11.0,0,0.00,0.00,0.0,0,-1,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.710,80,4.6,11.0,0,0.00,0.00,0.0,0,-1,12,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:09.810,80,4.6,11.0,0,0.00,0.00,0.0,0,-1,12,-1024,4,-617,204,-15,1024,-3,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2018-07-29,22:04:16.070,80,4.6,11.0,0,0.00,0.00,0.0,0,-1,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-29,22:04:16.160,81,4.6,11.0,0,0.00,0.00,0.0,0,-1,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-29,22:04:16.260,81,4.6,11.0,0,0.00,0.00,0.0,0,-1,14,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-29,22:04:16.360,81,4.6,11.0,0,0.00,0.00,0.0,0,-1,12,-1024,4,-617,204,-15,1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
