Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-27,08:30:08.890,14.40,1.4,17,0.00,0.00,0.00,0.00,30005,3.60,101,4.9,-3,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:08.990,14.40,1.4,17,0.00,0.00,0.00,0.00,10005,3.60,101,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.090,14.40,1.4,17,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.190,14.40,0.9,17,0.00,0.00,0.00,0.00,10005,3.60,101,4.9,-4,14,-827,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.290,14.40,0.9,17,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-827,3,20,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.390,14.40,0.9,17,0.00,0.00,0.00,0.00,20005,3.60,102,4.9,-4,14,-827,4,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.490,14.40,0.9,17,0.00,0.00,0.00,0.00,10005,3.60,102,4.9,-4,14,-827,4,20,-205,-4,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.590,14.40,0.9,17,0.00,0.00,0.00,0.00,20006,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.690,14.40,0.9,17,0.00,0.00,0.00,0.00,30006,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1024,-3,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.790,14.40,0.9,17,0.00,0.00,0.00,0.00,10002,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.890,14.40,0.9,17,0.00,0.00,0.00,0.00,30002,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1022,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:09.990,14.40,0.6,17,0.00,0.00,0.00,0.00,10002,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.090,14.40,0.6,17,0.00,0.00,0.00,0.00,20002,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.190,14.40,0.6,17,0.00,0.00,0.00,0.00,30002,3.60,102,4.9,-4,14,-827,3,20,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.290,14.40,0.6,17,0.00,0.00,0.00,0.00,10002,3.60,102,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.390,14.40,0.6,17,0.00,0.00,0.00,0.00,30002,3.60,102,4.9,-6,14,-827,4,20,-205,-4,-1024,-1,-1,-1,1,-1,1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.490,14.40,0.6,17,0.00,0.00,0.00,0.00,10002,3.60,102,4.9,-4,14,-827,3,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.590,14.40,0.6,17,0.00,0.00,0.00,0.00,20002,3.60,102,4.9,-4,14,-827,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.690,14.40,0.6,17,0.00,0.00,0.00,0.00,30002,3.60,101,4.9,-4,14,-827,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:10.790,14.40,0.9,17,0.00,0.00,0.00,0.00,10002,3.60,101,4.9,-4,14,-1024,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010220,7.8
2018-06-27,08:30:10.890,14.40,0.9,17,0.00,0.00,0.00,0.00,20002,3.60,101,4.9,0,14,-1024,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010220,7.8
2018-06-27,08:30:10.990,14.40,0.9,17,0.00,0.00,0.00,0.00,10002,3.62,101,4.9,1,14,-1024,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010220,7.8
2018-06-27,08:30:18.010,14.50,1.3,19,0.00,0.00,0.00,0.00,20005,3.60,100,4.9,-4,14,-871,4,21,-205,-5,-1022,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.100,14.50,1.4,19,0.00,0.00,0.00,0.00,10005,3.60,100,4.9,-4,14,-871,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.200,14.40,1.4,19,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-871,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.300,14.40,1.4,19,0.00,0.00,0.00,0.00,30005,3.60,101,4.9,-4,14,-871,4,21,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.400,14.40,1.4,19,0.00,0.00,0.00,0.00,10005,3.60,101,4.9,-4,14,-871,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.500,14.40,1.4,19,0.00,0.00,0.00,0.00,20005,3.60,101,4.9,-4,14,-871,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.600,14.40,1.4,19,0.00,0.00,0.00,0.00,30005,3.60,100,4.9,-4,14,-871,4,20,-205,-5,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
2018-06-27,08:30:18.700,14.40,1.4,19,0.00,0.00,0.00,0.00,20005,3.60,100,4.9,-4,14,-871,3,21,-205,-4,-1024,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000010230,7.8
