Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-11,20:41:55.220,16.20,4.05,30005,56,4.9,-7,11,-1024,7,152,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,20:41:55.290,16.20,4.05,10005,56,4.9,-6,11,-1024,7,151,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,20:41:55.390,16.20,4.05,30005,56,4.9,-6,11,-1024,7,152,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,20:41:55.490,16.20,4.05,20005,56,4.9,-7,11,-1024,9,152,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,20:41:55.590,16.20,4.05,10005,56,4.9,-6,11,-1024,7,152,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,20:41:55.690,16.10,4.02,20005,56,4.9,-6,11,-1024,9,152,204,-24,-1024,-1016,-1,1,1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2018-07-11,21:00:03.740,16.20,4.05,20002,56,4.9,-7,11,-892,6,152,204,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-11,21:00:03.820,16.20,4.05,30002,56,4.9,-7,11,-892,6,151,204,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-11,21:00:03.920,16.20,4.05,20002,56,4.9,-7,11,-892,6,152,204,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-11,21:00:04.020,16.20,4.05,10002,59,4.9,-7,11,-892,6,152,204,-24,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000230,7.8
2018-07-11,23:33:23.600,0.10,0.00,10002,91,4.8,0.0,0,-6,12,-1024,4,-635,204,-25,-1024,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-11,23:33:23.680,0.10,0.00,20002,91,4.8,0.0,0,-6,12,-1024,4,-635,204,-25,-1024,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-11,23:33:23.780,0.10,0.00,30002,91,4.8,0.0,0,-6,12,-1024,4,-635,204,-25,-1024,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
2018-07-11,23:33:23.880,0.10,0.00,10002,91,4.8,0.0,0,-6,12,-1024,4,-635,204,-25,-1024,-1001,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.7
