Date,Time,VFAS(V),Tmp1(@C),RSSI(dB),RxBt(V),A4(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-11-19,18:44:56.640,12.60,10002,86,5.1,4.20,-12,8,-1024,9,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:56.680,12.60,10002,86,5.1,4.20,-12,8,-1024,9,62,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:56.780,12.60,20001,84,5.1,4.20,-12,8,-1024,9,62,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:56.880,12.60,20001,84,5.1,4.20,-12,8,-1024,9,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:56.980,12.60,30001,84,5.1,4.20,-12,6,-1024,9,62,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:57.080,12.60,20005,84,5.1,4.20,-12,8,-1024,9,62,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:57.180,12.60,10005,86,5.1,4.20,-12,6,-1024,9,62,204,-21,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:57.280,12.60,30005,86,5.1,4.20,-12,6,-1024,9,62,204,-21,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:57.380,12.60,10005,86,5.1,4.20,-12,8,-1024,9,62,204,-21,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2018-11-19,18:44:57.480,12.60,10005,86,5.1,4.20,-12,8,-1000,9,64,204,-22,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:57.580,12.60,30005,86,5.1,4.20,-12,8,-1001,9,62,204,-22,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:57.680,12.60,10005,87,5.1,4.20,-12,79,-858,9,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:57.780,12.60,30005,87,5.1,4.20,-12,156,-736,10,64,204,-22,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:57.880,12.60,20005,87,5.1,4.20,-12,112,-731,10,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:57.980,12.60,10005,87,5.1,4.20,-10,67,-730,10,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.080,12.60,20005,85,5.1,4.20,-10,11,-730,9,62,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.180,12.60,10005,85,5.1,4.20,-12,9,-728,9,62,204,-22,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.280,12.60,10005,85,5.1,4.20,-12,8,-549,7,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.380,12.60,30005,85,5.1,4.20,-13,45,-430,6,62,204,-21,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.480,12.60,30005,86,5.1,4.20,-38,133,-331,7,62,204,-21,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.580,12.60,30005,86,5.1,4.20,-80,69,-309,9,64,204,-21,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.680,12.60,20005,86,5.1,4.20,-83,69,-333,9,64,204,-22,-1024,-660,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
2018-11-19,18:44:58.780,12.60,10005,86,5.1,4.20,-32,191,-514,9,64,204,-22,-1024,-659,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.2
