Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-04-18,07:18:05.840,9.87,4.93,10002,97,4.8,0.0,0,-16,12,-1024,12,1024,204,1024,-3,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:05.860,9.87,4.93,10002,97,4.8,0.0,0,-16,12,-1024,12,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:05.960,9.87,4.93,20001,97,4.8,0.0,0,-18,12,-1024,10,1024,204,1024,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.060,9.87,4.93,20001,96,4.8,0.0,0,-16,12,-1024,12,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.160,9.87,4.93,30005,96,4.8,0.0,0,-18,12,-1024,10,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.260,9.82,4.93,30005,96,4.8,0.0,0,-18,12,-1024,12,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.360,9.72,4.93,10005,96,4.8,0.0,0,-16,12,-1024,10,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.460,9.72,4.85,10005,96,4.8,0.0,0,-16,12,-1024,10,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.560,9.72,4.85,20005,97,4.8,0.0,0,-16,11,-1024,12,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.660,9.65,4.82,20005,97,4.8,0.0,0,-16,12,-1024,556,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2019-04-18,07:18:06.760,9.65,4.82,30005,97,4.8,0.0,0,-16,14,-1024,972,1024,204,1024,-3,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
