Date,Time,Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),Curr(A),Fuel(%),RSSI(dB),RxBt(V),VFAS(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-18,20:25:46.290,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-3,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.330,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-3,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.470,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-3,12,-1024,4,604,204,-2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.570,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.670,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.770,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.870,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:46.970,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:47.070,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:47.170,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
2018-07-18,20:25:47.280,0.00,0.00,0.00,0.00,20002,3.60,0.0,0,71,5.0,10.80,-4,12,-1024,4,604,204,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.7
