Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-07-08,23:06:36.630,0.00,0.00,30002,102,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000160,7.5
2018-07-08,23:06:36.670,0.00,0.00,30002,102,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000160,7.5
2018-07-08,23:06:36.770,0.00,0.00,10002,101,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000160,7.5
2018-07-08,23:06:36.870,0.00,0.00,30002,101,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000160,7.5
2018-07-08,23:06:36.970,0.00,0.00,10002,101,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000160,7.5
2018-07-08,23:06:37.070,0.00,0.00,20002,101,4.7,-6,12,-1024,6,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000120,7.5
2018-07-08,23:07:20.850,15.30,0.00,20001,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.5
2018-07-08,23:07:20.960,15.30,0.00,10005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,1,0x0000000000000260,7.5
2018-07-08,23:07:21.060,15.30,0.00,20005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.160,15.30,0.00,30005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.260,15.30,0.00,10005,99,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.360,15.30,0.00,30005,99,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.460,15.30,0.00,10005,99,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.560,15.30,0.00,20005,99,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.660,15.30,0.00,30005,97,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.760,15.30,0.00,10005,97,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.860,15.30,0.00,30005,97,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:21.960,15.30,0.00,10005,97,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.060,15.30,0.00,20005,97,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.160,15.30,0.00,10005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.260,15.30,0.00,20005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.360,15.30,0.00,30005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1017,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.460,15.30,0.00,10005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
2018-07-08,23:07:22.560,15.30,0.00,20005,98,5.0,-6,12,-1024,4,-925,-205,-25,-1024,-1016,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.5
