Date,Time,VFAS(V),A4(V),Tmp1(@C),RSSI(dB),RxBt(V),Curr(A),Fuel(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-09-22,10:58:00.640,16.51,4.12,30002,80,4.9,0.6,11,-10,11,-1024,6,1024,204,138,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:00.670,16.51,4.12,30002,80,4.9,0.6,11,-10,11,-1024,6,1024,204,138,0,0,56,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:00.770,16.52,4.13,10001,80,4.9,0.6,11,-10,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:00.870,16.52,4.13,20001,80,4.9,0.6,11,-10,12,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:00.970,16.52,4.13,30005,80,4.9,0.6,11,-9,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.070,16.53,4.13,30005,80,4.9,0.9,11,-9,11,-1024,6,1024,204,138,0,0,56,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.170,16.51,4.12,10005,80,4.9,0.9,11,-9,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.270,16.51,4.12,20005,80,4.9,1.1,11,-9,11,-1024,6,1024,204,138,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.370,16.51,4.12,20005,80,4.9,1.0,11,-9,9,-1024,6,1024,204,138,0,0,55,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.470,16.48,4.12,30005,79,4.9,1.0,11,-9,9,-1024,6,1024,204,138,0,0,55,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.570,16.49,4.12,10005,79,4.9,0.4,11,-9,-192,-1024,7,1024,204,138,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.670,16.49,4.12,20005,79,4.9,0.4,11,-10,-198,-1024,81,1024,204,138,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.770,16.49,4.12,20005,79,4.9,1.0,11,-9,-10,-1024,9,1024,204,138,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.870,16.44,4.11,30005,79,4.9,1.2,11,-9,9,-1024,7,1024,204,138,0,0,55,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
2019-09-22,10:58:01.970,16.47,4.11,10005,79,4.9,1.2,12,-9,9,-1024,7,1024,204,138,0,0,56,-3,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.2
