Date,Time,RSSI(dB),RxBt(V),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),VFAS(V),Curr(A),A2(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-05-06,12:26:48.290,64,4.9,5,0.00,0.00,0.00,0.00,10001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-2,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.330,64,4.9,5,0.00,0.00,0.00,0.00,10001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-2,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.430,68,4.9,5,0.00,0.00,0.00,0.00,20001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.530,68,4.9,5,0.00,0.00,0.00,0.00,20001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.630,68,4.9,5,0.00,0.00,0.00,0.00,30001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.730,68,4.9,5,0.00,0.00,0.00,0.00,30001,4.12,16.50,0.2,10.4,-10,11,-1024,9,1024,204,-1,-3,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.830,67,4.9,5,0.00,0.00,0.00,0.00,10001,4.12,16.50,0.2,10.4,-12,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:48.930,67,4.9,5,0.00,0.00,0.00,0.00,20001,4.12,16.50,0.1,10.4,-12,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:49.030,67,4.9,5,0.00,0.00,0.00,0.00,20001,4.12,16.50,0.2,10.4,-12,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:49.130,67,4.9,5,0.00,0.00,0.00,0.00,30001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
2018-05-06,12:26:49.230,67,4.9,5,0.00,0.00,0.00,0.00,30001,4.12,16.50,0.2,10.4,-10,9,-1024,9,1024,204,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000004220,7.3
