Date,Time,VFAS(V),Curr(A),Fuel(%),Hdg(@),AccX(g),AccY(g),AccZ(g),Tmp1(@C),A4(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-06-07,00:11:04.350,14.70,0.7,3,0.00,0.00,0.00,0.00,10002,3.67,94,4.9,-9,16,-1024,7,-740,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
2018-06-07,00:11:04.440,14.70,0.7,3,0.00,0.00,0.00,0.00,20002,3.67,94,4.9,-9,16,-1024,7,-740,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
2018-06-07,00:11:04.540,14.70,0.8,3,0.00,0.00,0.00,0.00,20002,3.67,94,4.9,-9,16,-1024,7,-740,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
2018-06-07,00:11:04.640,14.70,0.9,3,0.00,0.00,0.00,0.00,30002,3.67,94,4.9,-9,16,-1024,7,-740,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
2018-06-07,00:11:04.740,14.70,0.9,3,0.00,0.00,0.00,0.00,30002,3.67,93,4.9,-9,16,-1024,7,-740,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
2018-06-07,00:11:04.840,14.70,0.8,3,0.00,0.00,0.00,0.00,10002,3.67,93,4.9,-9,16,-1024,9,-741,204,62,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000220,7.8
