Date,Time,RSSI(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-20,00:01:20.600,0,-15,6,-1024,12,340,204,-10,0,0,-522,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-11-20,00:01:26.960,0,-13,6,-1024,12,340,204,-10,0,0,-523,0,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000020,7.9
2019-11-20,00:06:43.820,105,-15,6,-1024,12,339,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:44.320,107,-15,8,-1024,12,339,204,-10,0,0,-461,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:44.820,108,-15,6,-1024,10,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:45.320,107,-15,6,-1024,12,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:45.820,107,-15,6,-1024,12,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:46.320,98,-15,8,-1024,12,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:46.820,99,-12,9,-1024,-32,340,204,-10,0,0,-461,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.9
2019-11-20,00:06:47.320,100,-13,153,-215,0,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
2019-11-20,00:06:47.820,99,-18,-15,80,-116,340,204,-10,0,0,-461,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
2019-11-20,00:06:48.320,92,-36,-15,10,12,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
2019-11-20,00:06:48.820,90,-33,-74,93,67,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
2019-11-20,00:06:49.320,85,-36,109,-252,10,339,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
2019-11-20,00:06:49.820,81,-35,6,2,10,340,204,-10,0,0,-462,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.9
