Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-11-28,01:07:48.840,-13,9,-1024,9,-1024,1023,-3,0,0,12,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:49.330,-12,11,-1024,9,-1024,1023,-2,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:49.830,-12,11,-1024,10,-1024,1023,-3,0,0,12,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:50.330,-3,11,-1024,9,-1024,1023,-3,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:50.830,-10,11,-1024,10,-1024,1023,-3,0,0,12,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:51.330,-12,9,-1024,10,-1024,1023,-2,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:51.840,-12,11,-1024,9,-1024,1023,-3,0,0,14,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:52.330,-13,11,-1024,9,-1024,1023,-3,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:52.830,-13,8,-1024,10,-1024,1023,-2,0,0,14,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:53.330,-12,430,-1024,9,-1024,1023,-3,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:53.830,-13,11,-1024,10,-1024,1023,-2,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:54.330,-12,11,-1024,9,-1024,1023,-3,0,0,14,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:54.830,-12,11,-1024,10,-1024,1023,-3,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:55.330,-13,9,-1024,10,-1024,1023,-3,0,0,14,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:55.830,-12,11,-1024,9,-1024,1023,-3,0,0,12,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
2019-11-28,01:07:56.330,-13,11,-1024,10,-1024,1023,-2,0,0,14,-1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.6
