Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-01-11,11:00:37.340,0.00,49,15.18,3.79,0.5,25,20002,84,4.8,-15,4,-1024,9,-740,1023,-26,0,0,-980,1,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,11:00:37.620,0.00,49,15.15,3.78,0.8,26,20002,84,4.8,-16,4,-1024,9,-739,1023,-26,0,0,-980,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.6
2020-01-11,11:00:42.320,0.00,49,15.14,3.78,0.5,27,10002,81,4.8,-16,4,-1024,9,-740,1023,-26,0,0,-980,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,11:04:26.940,0.00,50,15.10,3.77,0.4,70,20002,85,4.8,-16,4,-1024,9,-740,1023,-26,0,0,-980,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2020-01-11,11:04:27.440,0.00,50,15.11,3.77,0.3,70,10005,81,4.8,-16,4,-1024,9,-740,1023,-25,0,0,-980,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2020-01-11,11:04:27.980,0.00,50,15.09,3.77,0.6,70,30005,86,4.8,-15,4,-1024,6,-740,1023,-26,0,0,-980,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2020-01-11,11:04:28.480,0.00,50,15.08,3.77,0.2,70,20005,86,4.8,-16,4,-1024,13,-740,1023,-26,0,0,-981,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.6
2020-01-11,13:41:42.490,0.00,36,15.08,3.77,0.4,6,20002,90,4.9,-15,4,-1024,10,-733,204,-4,0,0,-1024,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2020-01-11,13:41:42.980,0.00,36,15.09,3.77,0.5,6,10005,88,4.9,-15,4,-1024,12,-733,204,-5,0,0,-1024,1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
2020-01-11,13:41:43.480,0.00,37,15.10,3.77,0.5,6,30005,88,4.9,-15,4,-1024,12,-733,204,-4,0,0,-1024,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.4
