Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-06-20,11:05:28.040,7.20,61,16.15,4.03,1.1,31,10002,59,5.3,-13,16,-1014,7,-849,1023,275,0,0,65,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.1
2020-06-20,11:05:34.090,8.20,63,16.13,4.03,1.1,33,20005,66,5.3,-13,16,-1014,7,-850,1023,276,0,0,65,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.1
2020-06-20,11:06:09.690,317.40,65,16.12,4.03,1.1,44,30002,59,5.3,-13,16,-1014,7,-849,1023,275,0,0,66,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.1
2020-06-20,11:06:12.990,318.00,65,16.12,4.03,1.1,45,10002,59,5.3,-13,16,-1014,7,-849,1023,276,0,0,64,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.1
2020-06-20,11:19:32.590,10.30,60,17.03,4.25,1.2,44,30002,23,5.3,-12,16,-1012,7,-862,1023,275,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000A30,8.0
2020-06-20,11:22:18.310,10.30,60,17.03,4.25,1.2,44,30002,65,5.3,-12,17,-1016,7,-862,1023,275,0,0,56,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000A30,8.0
2020-06-20,11:42:21.150,3.10,54,17.08,4.27,1.1,15,30002,33,5.3,-12,16,-1012,7,-129,1023,276,0,0,69,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2020-06-20,11:43:49.860,76.40,58,17.04,4.26,1.1,22,10002,70,5.3,-13,16,-1014,7,-129,1023,276,0,0,7,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2020-06-20,11:44:05.710,76.40,58,17.04,4.26,1.1,22,10002,61,5.3,-13,16,-1014,7,-129,1023,276,0,0,8,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,8.0
2020-06-20,11:49:07.070,4.70,58,16.82,4.20,1.1,23,10002,51,5.3,-15,16,-1014,9,-127,1023,276,0,0,70,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:04:25.200,0.80,38,14.20,0.00,0.0,0,30002,36,5.3,-13,17,-1011,9,-132,1023,275,0,0,60,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:05:31.760,0.80,38,14.20,0.00,0.0,0,30002,18,5.3,-13,17,-1012,7,-133,1023,275,0,0,59,-1,-1,1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:05:36.530,0.80,38,14.20,0.00,0.0,0,30002,16,5.3,-13,17,-1012,7,-133,1023,275,0,0,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000210,7.9
2020-06-20,12:13:55.720,0.80,53,16.37,4.09,1.1,17,20002,43,5.3,-13,16,-1011,7,-118,1023,276,0,0,-6,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:24:24.410,0.30,46,17.05,4.26,1.1,12,30002,23,5.3,-13,16,-1014,7,-791,1023,275,0,0,25,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:25:24.770,0.50,46,17.04,4.26,1.2,13,30025,27,5.3,-13,16,-1014,7,-791,1023,275,0,0,25,-1,-1,1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-06-20,12:27:54.870,85.20,59,16.77,4.19,1.1,81,20002,66,5.3,-15,16,-1014,9,-693,1023,276,0,0,25,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
