Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-12,13:13:42.380,0.90,27,16.93,4.23,1.1,11,10002,66,5.3,-20,12,-1024,9,-776,1023,-25,0,0,69,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-04-12,13:16:00.090,63.90,32,16.10,4.02,1.2,56,10002,63,5.3,-16,12,-1024,10,-776,1023,-25,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-04-12,13:16:00.580,63.50,32,16.10,4.02,1.1,57,20025,64,5.3,-18,12,-1024,10,-776,1023,-25,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-04-12,13:16:30.800,157.80,34,16.04,4.01,1.1,67,10002,71,5.3,-18,12,-1024,9,-776,1023,-25,0,0,-4,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-04-12,13:19:46.210,141.30,32,15.33,3.83,1.1,131,10002,57,5.3,-16,12,-1024,10,-776,1023,-25,0,0,-4,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.8
2020-04-12,13:22:19.040,1.70,25,16.97,4.24,1.2,5,30002,63,5.3,-16,12,-1024,9,-776,1023,-26,0,0,-4,-1,-1,-1,1,-1,0,-1,-1,-1,0x0000000000000220,7.8
