Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-03-22,12:56:09.590,-532,-362,-366,-895,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:10.090,-23,-276,-115,172,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:10.590,-20,-123,-12,-122,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:11.090,-246,-260,-463,-570,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:11.590,-264,-317,-257,-413,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:12.090,-12,-61,-454,521,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:12.590,34,-128,-293,284,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:13.090,-445,-471,-401,-922,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:13.590,-474,-269,-393,-463,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:14.090,-549,-390,-287,-671,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:14.590,697,-202,-398,762,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:15.090,1,25,-533,-421,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:15.590,80,275,-231,293,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:16.090,-163,137,273,-298,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:16.590,-92,-280,415,339,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:17.090,-571,-496,42,-915,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:17.590,89,8,-231,683,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:18.090,12,-208,-565,363,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:18.590,-46,-200,-520,-217,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:19.090,503,-228,-4,727,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:19.590,127,-632,320,594,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:20.090,309,-558,201,669,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:20.590,202,428,-1024,-441,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000020,7.8
2020-03-22,12:56:21.090,-35,312,-438,-184,-683,1023,-4,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
2020-03-22,12:56:21.590,-6,-104,-625,313,-683,1023,-5,0,0,-1024,-3,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000030,7.8
