Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-01-11,10:49:26.080,15.16,3.79,0.4,9,0.00,10002,43,94,4.8,-16,4,-1024,9,-740,1023,-25,0,0,-980,1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,10:49:26.560,15.19,3.79,0.5,9,0.00,30005,43,92,4.8,-15,4,-1024,9,-740,1023,-26,0,0,-980,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,10:49:27.060,15.20,3.80,0.4,9,0.00,10005,44,94,4.8,-16,4,-1024,9,-740,1023,-25,0,0,-980,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,10:49:27.560,15.19,3.79,0.6,9,0.00,30005,44,93,4.8,-16,4,-1024,9,-740,1023,-25,0,0,-980,1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,10:49:28.060,15.21,3.80,0.7,9,0.00,20005,44,93,4.8,-16,4,-1024,10,-740,1023,-26,0,0,-980,1,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-01-11,21:34:28.830,14.77,3.69,0.0,0,0.00,20002,45,70,4.8,-15,4,-1024,10,-1024,1023,0,0,0,-1024,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.2
2020-01-11,21:34:29.330,14.77,3.69,0.0,0,0.00,30005,45,70,4.8,-15,4,-1024,10,-1024,1023,0,0,0,-1024,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,8.2
