Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,23:59:13.810,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,9,-1024,12,-1024,204,-1,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:14.310,0.00,0.00,0.0,0,0.00,0,0,86,4.4,-15,9,-1024,12,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:14.810,0.00,0.00,0.0,0,0.00,0,0,83,4.4,-15,-21,-1024,-615,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:15.310,0.00,0.00,0.0,0,0.00,0,0,87,4.4,-15,9,-1024,10,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:15.810,0.00,0.00,0.0,0,0.00,0,0,85,4.4,-15,6,-1024,9,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:16.310,0.00,0.00,0.0,0,0.00,0,0,83,4.4,-15,9,-1024,145,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:16.810,0.00,0.00,0.0,0,0.00,0,0,86,4.4,3,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:17.310,0.00,0.00,0.0,0,0.00,0,0,86,4.4,1,9,-1024,12,-1024,204,-1,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:17.810,0.00,0.00,0.0,0,0.00,0,0,86,4.4,65,4,-1024,-307,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:18.310,0.00,0.00,0.0,0,0.00,0,0,84,4.4,-13,9,-1024,10,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:18.810,0.00,0.00,0.0,0,0.00,0,0,85,4.4,1,56,-1024,-82,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:19.310,0.00,0.00,0.0,0,0.00,0,0,87,4.4,-15,9,-1024,97,-1024,204,-1,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:19.810,0.00,0.00,0.0,0,0.00,0,0,86,4.4,-15,9,-1024,12,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:20.310,0.00,0.00,0.0,0,0.00,0,0,85,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:20.810,0.00,0.00,0.0,0,0.00,0,0,84,4.4,20,9,-690,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2020-02-01,23:59:21.310,0.00,0.00,0.0,0,0.00,0,0,86,4.4,46,9,-1024,12,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:21.810,0.00,0.00,0.0,0,0.00,0,0,84,4.4,144,9,-941,12,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000930,7.7
2020-02-01,23:59:22.310,0.00,0.00,0.0,0,0.00,0,0,84,4.4,140,9,-1024,12,-1024,204,-1,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:24.420,0.00,0.00,0.0,0,0.00,0,0,87,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,-1,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:24.910,0.00,0.00,0.0,0,0.00,0,0,88,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:25.410,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-13,9,-1024,12,-1024,204,-1,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:25.910,0.00,0.00,0.0,0,0.00,0,0,90,4.4,-15,9,-1024,12,-1024,204,-2,0,0,74,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:26.410,0.00,0.00,0.0,0,0.00,0,0,88,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:26.910,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:27.410,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,9,-1024,12,-1024,204,-1,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
2020-02-01,23:59:27.910,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-15,9,-1024,12,-1024,204,-2,0,0,73,0,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000920,7.7
