Date,Time,Hdg(@),Tmp1(@C),VFAS(V),A4(V),Curr(A),Fuel(%),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-03-15,13:19:34.690,0.70,30,17.01,4.25,1.1,8,30002,61,5.3,-20,11,-1024,12,-593,1023,-3,0,0,65,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:19:35.180,0.70,30,17.01,4.25,1.2,9,10025,69,5.3,-20,11,-1024,12,-593,1023,-3,0,0,65,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:20:18.590,355.60,37,17.00,4.25,1.2,23,20002,53,5.3,-20,9,-1024,12,-593,1023,-4,0,0,63,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:21:48.210,279.40,16,16.21,4.05,1.2,37,30005,67,5.3,-20,9,-1024,12,-593,1023,-3,0,0,10,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,8.0
2020-03-15,13:23:55.350,279.40,16,16.21,4.05,1.2,37,30005,40,5.3,-106,198,-1024,-34,-594,1023,-3,0,0,10,-919,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:31.400,279.40,16,16.21,4.05,1.2,37,30005,69,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:31.890,279.40,16,16.21,4.05,1.2,37,30005,71,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:32.390,279.40,16,16.21,4.05,1.2,37,30005,66,5.3,-20,11,-1024,12,-593,1023,-3,0,0,3,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:32.890,279.40,16,16.21,4.05,1.2,37,30005,72,5.3,-21,11,-1024,12,-593,1023,-4,0,0,3,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:33.390,279.40,16,16.21,4.05,1.2,37,30005,67,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:33.890,279.40,16,16.21,4.05,1.2,37,30005,70,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:34.390,279.40,16,16.21,4.05,1.2,37,30005,65,5.3,-21,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:34.890,279.40,16,16.21,4.05,1.2,37,30005,69,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:35.390,279.40,16,16.21,4.05,1.2,37,30005,64,5.3,-20,11,-1024,12,-593,1023,-3,0,0,3,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:35.890,279.40,16,16.21,4.05,1.2,37,30005,66,5.3,-20,11,-1024,12,-593,1023,-3,0,0,3,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:36.390,279.40,16,16.21,4.05,1.2,37,30005,62,5.3,-20,11,-1024,12,-593,1023,-3,0,0,3,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:36.890,279.40,16,16.21,4.05,1.2,37,30005,65,5.3,-20,11,-1024,12,-593,1023,-3,0,0,2,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:37.390,279.40,16,16.21,4.05,1.2,37,30005,65,5.3,-20,11,-1024,12,-593,1023,-4,0,0,2,-919,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:53.350,279.40,16,16.21,4.05,1.2,37,30005,38,5.3,-20,11,-1024,12,-593,1023,-3,0,0,-4,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:24:53.840,279.40,16,16.21,4.05,1.2,37,30005,39,5.3,-20,11,-1024,12,-594,1023,-3,0,0,-4,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:25:39.660,279.40,16,16.21,4.05,1.2,37,30005,14,5.3,-20,11,-1024,12,-593,1023,-3,0,0,-4,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:25:40.140,279.40,16,16.21,4.05,1.2,37,30005,26,5.3,-20,9,-1024,12,-593,1023,-3,0,0,-4,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:25:40.640,279.40,16,16.21,4.05,1.2,37,30005,26,5.3,-18,-302,-1024,-96,-594,1023,-3,0,0,-4,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:25:41.140,279.40,16,16.21,4.05,1.2,37,30005,39,5.3,-21,-12,-881,423,-594,1023,-3,0,0,-6,-919,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000230,7.9
2020-03-15,13:25:41.640,279.40,16,16.21,4.05,1.2,37,30005,45,5.3,-169,9,-1024,7,-593,1023,-3,0,0,-4,-919,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:28:34.020,1.30,26,17.00,4.25,1.1,11,10002,66,5.3,-18,11,-1024,12,-594,1023,-4,0,0,-4,-921,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:28:34.510,1.30,27,17.01,4.25,1.2,11,10025,64,5.3,-18,11,-1024,12,-594,1023,-4,0,0,-4,-921,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,13:31:27.830,40.80,16,16.17,4.04,1.2,25,20005,61,5.3,-92,11,-1024,13,-594,1023,-4,0,0,-4,-921,-1,-1,-1,-1,0,-1,-1,-1,0x0000000000000200,7.9
2020-03-15,16:09:38.180,2.30,26,16.99,4.24,1.1,13,20002,64,5.3,-18,9,-1024,12,-668,1023,-3,0,0,-581,-918,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,16:09:38.670,2.30,26,16.99,4.24,1.1,13,20021,64,5.3,-18,9,-1024,12,-668,1023,-3,0,0,-581,-918,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,16:09:39.170,2.20,26,16.92,4.23,1.2,14,30025,62,5.3,-18,9,-1024,12,-668,1023,-3,0,0,-581,-918,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,16:10:10.090,100.10,19,16.65,4.16,1.1,24,10001,31,5.3,-18,9,-1024,12,-668,1023,-3,0,0,-599,-927,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
2020-03-15,16:11:00.940,170.50,19,16.57,4.14,1.1,25,10002,64,5.3,-20,9,-1024,13,-668,1023,-3,0,0,-597,-925,-1,-1,0,-1,0,-1,-1,-1,0x0000000000000220,7.9
