Date,Time,VFAS(V),A4(V),Curr(A),Fuel(%),Hdg(@),Tmp1(@C),Tmp1(@C),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-31,09:53:21.710,0.00,0.00,0.0,0,0.00,0,0,87,4.3,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:22.400,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-3,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:22.890,0.00,0.00,0.0,0,0.00,0,0,94,4.4,-15,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:27.560,0.00,0.00,0.0,0,0.00,0,0,92,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:28.060,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:29.720,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:30.470,0.00,0.00,0.0,0,0.00,0,0,92,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:31.220,0.00,0.00,0.0,0,0.00,0,0,92,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:31.570,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-3,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:37.140,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:37.890,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-16,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.6
2020-05-31,09:53:45.030,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,16,-1024,10,-1024,1023,-1,0,0,-3,1024,-1,1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:48.690,0.00,0.00,0.0,0,0.00,0,0,90,4.4,-16,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.6
2020-05-31,09:53:54.930,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:55.630,0.00,0.00,0.0,0,0.00,0,0,92,4.4,-15,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:53:56.050,0.00,0.00,0.0,0,0.00,0,0,89,4.4,-15,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:01.200,0.00,0.00,0.0,0,0.00,0,0,91,4.4,-15,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:01.900,0.00,0.00,0.0,0,0.00,0,0,90,4.4,-15,16,-1024,9,-1024,1023,-1,0,0,-3,1024,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:02.150,0.00,0.00,0.0,0,0.00,0,0,90,4.4,-15,16,-1024,10,-1024,1023,-1,0,0,-4,1024,-1,-1,0,-1,1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:09.810,0.00,0.00,0.0,0,0.00,0,0,88,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,-4,1024,-1,0,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:10.460,0.00,0.00,0.0,0,0.00,0,0,91,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,74,1024,-1,0,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:10.950,0.00,0.00,0.0,0,0.00,0,0,91,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,76,1024,-1,0,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:11.760,0.00,0.00,0.0,0,0.00,0,0,89,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,76,1024,-1,0,-1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:11.960,0.00,0.00,0.0,0,0.00,0,0,89,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,76,1024,-1,0,1,-1,-1,-1,-1,-1,0x0000000000000920,7.6
2020-05-31,09:54:15.610,0.00,0.00,0.0,0,0.00,0,0,92,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,79,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000900,7.6
2020-05-31,09:54:24.120,0.00,0.00,0.0,0,0.00,0,0,90,4.5,-16,16,-1024,9,-1024,1023,-1,0,0,66,1024,-1,-1,0,-1,-1,-1,-1,-1,0x0000000000000920,7.6
